No.,File (click to download),Date,Total Crawled Videos,Duration (second),Note
1,080327,"Mar. 27th, 2008",310005,72984, 
2,080329,"Mar. 29th, 2008",186671,44014, 
3,080331,"Mar. 31st, 2008",150382,38292, 
4,080402,"Apr. 2nd, 2008",154372,31394, 
5,080404,"Apr. 4th, 2008",155213,31903, 
6,080406,"Apr. 6th, 2008",128499,30830, 
7,080408,"Apr. 8th, 2008",133279,32044, 
8,080412,"Apr. 12th, 2008",123843,32691, 
9,080414,"Apr. 14th, 2008",86737,17580, 
10,080416,"Apr. 16th, 2008",101249,20779, 
11,080418,"Apr. 18th, 2008",114269,27237, 
12,080422,"Apr. 22nd, 2008",114269,28355, 
13,080424,"Apr. 24th, 2008",110232,30862, 
14,080426,"Apr. 26th, 2008",68205,16975, 
15,080428,"Apr. 28th, 2008",74816,17760, 
16,080430,"Apr. 30th, 2008",102969,21505, 
17,080502,"May 2nd, 2008",96684,25334, 
18,080504,"May 4th, 2008",69169,20761, 
19,080506,"May 6th, 2008",98766,19694, 
20,080508,"May 8th, 2008",84197,17148, 
21,080510,"May 10th, 2008",85094,23972, 
22,080512,"May 12th, 2008",91306,25485, 
23,080514,"May 14th, 2008",89824,39771, 
24,080516,"May 16th, 2008",88333,21908, 
25,080518,"May 18th, 2008",90320,25645, 
26,080520,"May 20th, 2008",78123,18765, 
27,080522,"May 22nd, 2008",73417,15274, 
28,080524,"May 24th, 2008",81537,18678, 
29,080526,"May 26th, 2008",73165,19818, 
30,080528,"May 28th, 2008",69112,23274, 
31,080530,"May 30th, 2008",72138,17795, 
32,080601,"Jun. 1st, 2008",69987,17197, 
33,080603,"Jun. 3rd, 2008",84000,18900, 
34,080605,"Jun. 5th, 2008",75995,-,The crawl paused due to the networking problem.
35,080609,"Jun. 9th, 2008",77603,15333, 
36,080611,"Jun. 11th, 2008",72138,14528, 
37,080613,"Jun. 13th, 2008",72042,21381, 
38,080615,"Jun. 15th, 2008",68736,20136, 
39,080617,"Jun. 17th, 2008",74689,21144, 
40,080619,"Jun. 19th, 2008",72542,21808, 
41,080621,"Jun. 21st, 2008",55535,17371, 
42,080623,"Jun. 23rd, 2008",59165,15304, 
43,080625,"Jun. 25th, 2008",53232,18606, 
44,080627,"Jun. 27th, 2008",65906,17314, 
45,080629,"Jun. 29th, 2008",52219,13496, 
46,080701,"Jul. 1st, 2008",62065,15565, 
47,080703,"Jul. 3rd, 2008",62065,14607, 
48,080705,"Jul. 5th, 2008",51555,15052, 
49,080707,"Jul. 7th, 2008",63053,18723, 
50,08079,"Jul. 9th, 2008",54981,16367, 
51,080711,"Jul. 11th, 2008",65412,19833, 
52,080713,"Jul. 13th, 2008",48748,18690, 
53,080715,"Jul. 15th, 2008",54075,20403, 
54,080717,"Jul. 17th, 2008",48884,18205, 
55,080719,"Jul. 19th, 2008",72773,27226, 
56,080721,"Jul. 21st, 2008",46868,19656, 
57,080723,"Jul. 23rd, 2008",50290,22334, 
58,080725,"Jul. 25th, 2008",78680,31925, 
59,080727,"Jul. 27th, 2008",60205,32802,